3721	ā	á	ǎ	à	
a	阿啊	啊	啊	啊	啊
ai	唉埃挨哀哎	挨呆癌	欸矮蔼	唉隘碍艾爱	
an	安			按案暗岸	
ang		昂卬昻		盎	
ao	凹熬	熬	袄	奥澳傲	
ba	巴吧芭疤笆八叭扒捌	拔	把	吧罢	巴
bai	掰	白	伯柏百佰摆	败拜	
ban	颁扳班斑般搬		板版	半伴拌扮瓣办	
bang	邦帮		绑榜膀	傍谤磅镑棒	
bao	包炮胞剥	薄雹	饱宝保堡	暴曝爆刨抱鲍报豹	
bei	杯悲卑碑背		北	被辈倍备惫背贝狈	臂
ben	奔		本	笨奔	
beng	绷崩	甭	绷	绷蹦	
bi	逼	鼻	彼比笔鄙	闭必秘辟壁避臂毕毙敝弊蔽痹碧币	
bian	鞭编边		扁贬	便遍辨辩辫变	边
biao	镖标彪		表		
bie	憋	别		别	
bin	彬宾滨				
bing	兵冰		丙柄屏饼秉	病并	
bo	玻播拨剥波菠	伯泊柏舶魄博搏膊薄驳勃脖	簸	柏簸薄	卜
bu	哺钸		捕卜补堡	不部步簿布怖埠	
ca	拆擦				
cai	猜	才材财裁	采彩睬踩	采菜蔡	
can	参餐	残蚕惭	惨	灿	
cang	仓沧苍舱	藏			
cao	操	曹槽	草		
ce				侧测厕册策	
cen	参				
ceng		层曾		蹭	
cha	差叉插	茶叉查察	叉	岔差刹诧	
chai	差拆	柴			
chan	搀掺	谗馋禅蝉缠	阐产铲	颤	
chang	昌猖	长场肠常裳尝偿	场敞厂	畅倡唱	
chao	超吵抄钞绰	朝嘲潮巢	吵炒		
	ā	á	ǎ	à	
che	车		扯	彻撤	
chen		陈辰晨尘臣沉		趁称衬	
cheng	称撑	橙澄成诚城盛乘呈程承惩		秤	
chi	痴吃嗤	池驰匙持迟	侈尺耻齿	斥赤翅	
chong	冲充	虫重崇	宠	冲	
chou	抽	绸稠畴筹踌仇酬愁	丑	臭	
chu	出初	厨橱除躇锄	处础储楚	处触畜	
chua	欻				
chuai	踹搋揣		揣	嘬膪踹	
chuan	穿川	传船	喘	串	
chuang	创疮窗	幢床	闯	创	
chui	吹炊	垂捶锤			
chun	春	淳醇唇纯	蠢		
chuo	戳踔			绰龊辍啜	
ci	差	瓷词雌慈磁辞	此	次伺赐刺	
cong	从匆聪囱葱	从丛			
cou				凑	
cu	粗			醋促	
cuan		攒		窜	
cui	崔催摧			脆粹翠	
cun	村	存		寸	
cuo	搓磋			挫措错	
da	搭答	打答瘩达	打	大	瘩
dai	待呆		逮歹	代贷袋怠待带大逮戴	
dan	担单耽丹		胆	旦但担弹石淡氮诞蛋	
dang	当		挡党	荡当挡档	
dao	刀叨		倒蹈岛捣祷导	盜到倒稻悼道	
de		得德			地得的
dei			得		
den				㩐扽	
deng	灯登蹬		等	凳瞪蹬邓	
di	堤提氐低羝滴	迪笛狄的敌涤	底抵砥诋柢坻邸	地帝缔蒂弟递的第	
dian	颠掂巅癫		点典踮	店惦淀奠殿垫电	
diao	刁叼凋雕		鸟屌	调掉钓吊	
die	跌爹	碟蝶迭叠			
					
	ā	á	ǎ	à	
ding	丁叮盯钉		顶鼎	订钉定	
diu	丢				
dong	东冬		董懂	冻栋动洞	
dou	都兜		斗抖陡	豆逗斗读	
du	都嘟督	独堵读	堵赌睹笃肚	度渡镀妒杜肚	
duan	端		短	断段缎锻	
dui	堆			敦兑队对	
dun	吨蹲敦墩			钝顿盾	
duo	多哆	度夺	朵躲	舵跺驮堕惰	
e	阿	俄哦鹅蛾讹额	恶	恶饿厄颚	
ei	欸	欸	欸	欸	
en	恩				
eng	鞥				
er		而儿	尔耳	二贰	
fa	发	伐阀乏罚	法	发	
fan	番蕃翻帆	烦蕃凡繁	反返	饭贩泛犯范	
fang	方坊妨芳	防坊妨房肪	仿访纺	放	
fei	非啡菲飞	肥	匪诽菲斐	沸费废肺	
fen	分吩纷芬氛	焚坟	粉	分份奋愤粪	
feng	丰封风枫疯峰锋蜂	冯逢缝	讽	缝凤奉	
fo		佛			
fou			否		
fu	夫肤敷	夫扶芙符伏袱弗佛拂幅福辐俘浮服	府俯斧甫辅抚腐	赴付附复腹覆傅缚父妇负赋副富	付咐
ga	夹咖	轧			
gai	该		改	丐钙溉概盖	
gan	干杆肝竿甘		杆秆赶感敢	干	
gang	扛缸冈刚纲钢		岗港	杠钢	
gao	高糕膏		搞稿	膏告	
ge	鸽哥歌胳戈割疙阁	格胳搁葛革隔阁	合葛个	各个	
gei			给		
gen	根跟				
geng	更耕庚		梗耿颈	更	
gong	工功红攻供恭公宫弓躬		汞拱巩	贡共供	
gou	勾沟钩		狗	勾构购够	
					
	ā	á	ǎ	à	
gu	估咕骨孤姑菇辜	骨	古鼓骨谷贾股	固雇顾故	
gua	刮瓜		寡	卦挂	
guai	乖		拐	怪	
